Distance (Km),Longitude,Latitude,MOLA 128ppd Elevation
0,74.322,20.876,-576
0.057,74.321,20.877,-576
0.114,74.32,20.877,-582
0.171,74.319,20.878,-582
0.228,74.318,20.878,-582
0.285,74.317,20.879,-582
0.342,74.316,20.879,-582
0.399,74.315,20.88,-582
0.457,74.314,20.88,-582
0.515,74.314,20.881,-582
0.572,74.313,20.882,-582
0.63,74.312,20.882,-586
0.688,74.311,20.883,-586
0.748,74.311,20.884,-591
0.808,74.311,20.885,-591
0.868,74.311,20.886,-591
0.928,74.311,20.887,-591
0.988,74.311,20.888,-591
1.048,74.311,20.889,-591
1.108,74.311,20.89,-591
1.168,74.311,20.891,-594
1.228,74.311,20.892,-594
1.288,74.31,20.893,-594
1.347,74.31,20.894,-594
1.407,74.31,20.895,-594
1.466,74.309,20.896,-594
1.526,74.309,20.897,-594
1.585,74.308,20.898,-594
1.645,74.308,20.898,-595
1.704,74.307,20.899,-595
1.763,74.307,20.9,-595
1.823,74.307,20.901,-595
1.882,74.306,20.902,-595
1.941,74.306,20.903,-595
2.001,74.305,20.904,-595
2.06,74.305,20.905,-595
2.119,74.304,20.906,-601
2.178,74.304,20.907,-602
2.238,74.304,20.908,-602
2.298,74.304,20.909,-602
2.358,74.304,20.91,-602
2.418,74.304,20.911,-602
2.479,74.304,20.912,-602
2.539,74.304,20.913,-602
2.599,74.304,20.914,-602
2.659,74.304,20.915,-604
2.719,74.304,20.916,-604
2.777,74.304,20.916,-604
2.835,74.303,20.917,-604
2.893,74.302,20.918,-604
2.951,74.301,20.918,-604
3.008,74.301,20.919,-604
3.066,74.3,20.92,-604
3.124,74.299,20.92,-604
3.182,74.298,20.921,-604
3.239,74.298,20.922,-604
3.296,74.297,20.922,-610
3.352,74.296,20.922,-610
3.409,74.295,20.923,-610
3.467,74.294,20.923,-610
3.525,74.293,20.924,-610
3.583,74.293,20.925,-610
3.642,74.292,20.926,-610
3.701,74.291,20.926,-610
3.759,74.291,20.927,-610
3.818,74.29,20.928,-610
3.878,74.29,20.929,-610
3.937,74.289,20.93,-612
3.997,74.289,20.931,-615
4.056,74.289,20.932,-615
4.116,74.288,20.933,-615
4.176,74.288,20.934,-615
4.236,74.289,20.935,-615
4.296,74.289,20.936,-615
4.356,74.289,20.937,-615
4.416,74.289,20.938,-615
4.476,74.289,20.939,-615
4.534,74.29,20.94,-615
4.592,74.291,20.94,-615
4.651,74.291,20.941,-615
4.709,74.292,20.942,-615
4.768,74.293,20.943,-615
4.824,74.294,20.943,-615
4.88,74.295,20.943,-615
4.936,74.296,20.943,-615
4.992,74.297,20.943,-615
5.048,74.298,20.943,-611
5.105,74.299,20.943,-611
5.161,74.3,20.943,-611
5.217,74.301,20.942,-611
5.274,74.302,20.942,-611
5.33,74.303,20.942,-611
5.387,74.304,20.942,-611
5.443,74.305,20.942,-607
5.499,74.306,20.942,-607
5.555,74.307,20.941,-607
5.611,74.308,20.941,-607
5.667,74.309,20.941,-607
5.724,74.31,20.941,-607
5.78,74.311,20.941,-607
5.836,74.312,20.941,-607
5.892,74.313,20.94,-603
5.949,74.314,20.94,-603
6.005,74.315,20.94,-603
6.061,74.316,20.94,-603
