Distance (Km),Longitude,Latitude,MOLA 128ppd Elevation
3.23,73.27,20.951,-347
3.244,73.271,20.951,-347
3.258,73.271,20.951,-347
3.272,73.271,20.951,-347
3.286,73.271,20.951,-347
3.3,73.272,20.951,-347
3.314,73.272,20.951,-347
3.329,73.272,20.951,-347
3.343,73.272,20.951,-347
3.357,73.273,20.95,-347
3.371,73.273,20.95,-347
3.385,73.273,20.95,-347
3.399,73.273,20.95,-347
3.413,73.274,20.95,-308
3.427,73.274,20.95,-308
3.441,73.274,20.95,-308
3.455,73.274,20.95,-308
3.469,73.275,20.95,-308
3.483,73.275,20.95,-308
3.497,73.275,20.95,-308
3.512,73.275,20.95,-308
3.526,73.276,20.949,-308
3.54,73.276,20.949,-308
3.554,73.276,20.949,-308
3.568,73.276,20.949,-308
3.582,73.276,20.949,-308
3.596,73.277,20.949,-308
3.61,73.277,20.949,-308
3.624,73.277,20.949,-308
3.638,73.277,20.949,-308
3.652,73.278,20.949,-308
3.666,73.278,20.949,-308
3.68,73.278,20.949,-308
3.695,73.278,20.948,-308
3.709,73.279,20.948,-308
3.723,73.279,20.948,-308
3.737,73.279,20.948,-308
3.751,73.279,20.948,-308
3.765,73.28,20.948,-308
3.779,73.28,20.948,-308
3.793,73.28,20.948,-308
3.807,73.28,20.948,-308
3.821,73.281,20.948,-308
3.835,73.281,20.948,-308
3.849,73.281,20.948,-308
3.863,73.281,20.947,-308
3.878,73.281,20.947,-309
3.892,73.282,20.947,-309
3.906,73.282,20.947,-309
3.92,73.282,20.947,-309
3.934,73.282,20.947,-309
3.948,73.283,20.947,-309
3.962,73.283,20.947,-309
3.976,73.283,20.947,-309
3.99,73.283,20.947,-309
4.004,73.284,20.947,-309
4.018,73.284,20.947,-309
4.032,73.284,20.946,-309
4.047,73.284,20.946,-309
4.061,73.285,20.946,-309
4.075,73.285,20.946,-309
4.089,73.285,20.946,-309
4.103,73.285,20.946,-309
4.117,73.286,20.946,-309
4.131,73.286,20.946,-309
4.145,73.286,20.946,-309
4.159,73.286,20.946,-309
4.173,73.286,20.946,-309
4.187,73.287,20.946,-309
4.201,73.287,20.945,-309
4.215,73.287,20.945,-309
4.23,73.287,20.945,-309
4.244,73.288,20.945,-309
4.258,73.288,20.945,-309
4.272,73.288,20.945,-309
4.286,73.288,20.945,-309
4.3,73.289,20.945,-309
4.314,73.289,20.945,-309
4.328,73.289,20.945,-306
4.342,73.289,20.945,-306
4.356,73.29,20.944,-306
4.37,73.29,20.944,-306
4.384,73.29,20.944,-306
4.398,73.29,20.944,-306
4.413,73.291,20.944,-306
4.427,73.291,20.944,-306
4.441,73.291,20.944,-306
4.455,73.291,20.944,-306
4.469,73.291,20.944,-306
4.483,73.292,20.944,-306
4.497,73.292,20.944,-306
4.511,73.292,20.944,-306
4.525,73.292,20.943,-306
4.539,73.293,20.943,-306
4.553,73.293,20.943,-306
4.567,73.293,20.943,-306
4.581,73.293,20.943,-306
4.596,73.294,20.943,-306
4.61,73.294,20.943,-306
4.624,73.294,20.943,-306
4.638,73.294,20.943,-306
4.653,73.294,20.943,-306
4.668,73.294,20.944,-306
4.683,73.294,20.944,-306
4.698,73.294,20.944,-306
4.713,73.294,20.944,-306
4.728,73.294,20.945,-306
4.743,73.294,20.945,-306
4.758,73.294,20.945,-306
4.773,73.294,20.945,-303
4.788,73.294,20.946,-303
4.803,73.294,20.946,-303
4.818,73.294,20.946,-303
4.833,73.295,20.946,-303
4.848,73.295,20.947,-303
4.863,73.295,20.947,-303
4.878,73.295,20.947,-303
4.893,73.295,20.947,-303
4.907,73.295,20.948,-303
4.922,73.295,20.948,-303
4.937,73.295,20.948,-303
4.952,73.295,20.948,-303
4.967,73.295,20.949,-303
4.982,73.295,20.949,-303
4.997,73.295,20.949,-303
5.012,73.295,20.949,-303
5.027,73.295,20.95,-303
5.042,73.295,20.95,-303
5.057,73.295,20.95,-303
5.072,73.295,20.95,-303
5.087,73.295,20.951,-303
5.102,73.295,20.951,-303
5.117,73.295,20.951,-303
5.132,73.295,20.951,-303
5.147,73.295,20.952,-303
5.162,73.295,20.952,-303
5.176,73.295,20.952,-303
5.191,73.295,20.952,-303
5.206,73.295,20.953,-303
5.221,73.295,20.953,-303
5.236,73.295,20.953,-287
5.251,73.295,20.953,-287
5.266,73.295,20.954,-287
5.281,73.295,20.954,-287
5.296,73.295,20.954,-287
5.311,73.295,20.954,-287
5.326,73.295,20.955,-287
5.341,73.295,20.955,-287
5.356,73.295,20.955,-287
5.371,73.295,20.955,-287
5.386,73.295,20.956,-287
5.401,73.295,20.956,-287
5.416,73.295,20.956,-287
5.431,73.295,20.956,-287
